User,Age,Gender,Education,Neuroticism,Extraversion,Openness-to-experience,Agreeableness,Conscientiousness,Impulsive,Sensation-seeking
1,2,0,5,0.31287,-0.57545,-0.58331,-0.91699,-0.00665,-0.21711999999999998,-1.18084
1,1,1,8,-0.67825,1.9388599999999998,1.43533,0.7609600000000001,-0.14277,-0.71126,-0.21575
0,2,1,5,-0.46725,0.80523,-0.8473200000000001,-1.6209,-1.0145,-1.37983,0.40148
1,0,0,7,-0.14882,-0.80615,-0.019280000000000002,0.59042,0.5848899999999999,-1.37983,-1.18084
1,2,0,8,0.73545,-1.6334,-0.45174,-0.30172,1.3061200000000002,-0.21711999999999998,-0.21575
1,5,0,3,-0.67825,-0.30033000000000004,-1.55521,2.03972,1.6308799999999999,-1.37983,-1.5485799999999998
1,3,1,7,-0.46725,-1.09207,-0.45174,-0.30172,0.9394899999999999,-0.21711999999999998,0.07987000000000001
0,2,1,1,-1.32828,1.9388599999999998,-0.8473200000000001,-0.30172,1.6308799999999999,0.19268,-0.52593
1,2,0,5,0.62967,2.57309,-0.97631,0.7609600000000001,1.1340700000000001,-1.37983,-1.5485799999999998
1,4,1,7,-0.24649000000000001,0.0033200000000000005,-1.42424,0.59042,0.12330999999999999,-1.37983,-0.8463700000000001
1,1,0,6,-1.05308,0.80523,-1.1190200000000001,-0.7609600000000001,1.81175,0.19268,0.07987000000000001
1,3,1,4,-1.32828,0.0033200000000000005,0.14143,-1.92595,-0.52745,0.52975,1.2247
1,4,0,6,2.28554,0.16767,0.44585,-1.6209,-0.78155,1.29221,0.07987000000000001
0,4,0,5,-0.79151,0.80523,-0.019280000000000002,0.9415600000000001,3.4643599999999997,-0.71126,-0.8463700000000001
1,4,0,5,-0.92104,1.45421,0.44585,-0.60633,1.6308799999999999,1.29221,0.7654
0,4,1,6,-2.05048,-1.50796,-1.55521,-1.07533,1.1340700000000001,-0.71126,-0.52593
1,2,0,4,-1.5507799999999998,-0.80615,-1.68062,0.28783000000000003,0.7583,-0.21711999999999998,-2.07848
1,3,1,1,0.52135,-1.23177,-0.31776,-0.45321000000000006,-1.3850200000000001,-1.37983,-0.8463700000000001
0,4,1,6,1.37297,-0.15487,-0.17779,-1.92595,-1.5184,-0.71126,-0.21575
0,2,1,5,-0.34799,-1.7625,-2.39883,-1.92595,0.7583,-1.37983,-2.07848
1,3,1,5,-0.79151,0.80523,0.7233,1.6110799999999998,-1.13788,0.19268,-0.21575
0,5,1,0,-1.1943,0.47617,-1.1190200000000001,-0.60633,1.81175,-0.21711999999999998,-1.18084
0,3,1,6,0.41667,-0.9477899999999999,-0.8473200000000001,1.11406,-0.89891,-0.71126,0.07987000000000001
1,3,1,1,1.6038299999999999,-3.27393,-1.2755299999999998,0.28783000000000003,-1.0145,-1.37983,-1.5485799999999998
1,4,1,6,-0.14882,0.63779,1.24033,0.7609600000000001,1.46191,-0.21711999999999998,-0.52593
0,3,1,4,-0.79151,-0.43998999999999994,-1.2755299999999998,0.9415600000000001,-0.00665,-0.21711999999999998,0.40148
1,4,0,3,-0.051879999999999996,-1.6334,-3.27393,-0.7609600000000001,0.5848899999999999,0.19268,-1.5485799999999998
1,2,1,6,0.52135,-1.23177,-0.019280000000000002,-0.01729,-2.18109,1.8620299999999999,0.40148
